Sex,Age_ID,ICD_Code,Community,Num_Connections,Bridges_To,Mortality,Bridges_Mortality
Female,1,A02,16,0,[],0.0,[]
Female,1,J96,11,3,"[16, 0, 7]",0.136456211812627,"[0.03657605267282186, 0.028063329008365948, 0.06406301624913845]"
Female,1,J90,0,0,[],0.045045045045045,[]
Female,1,J46,0,0,[],0.0028089887640449,[]
Female,1,J45,0,0,[],0.0195996663886572,[]
Female,1,J44,0,0,[],0.148970374339738,[]
Female,1,J40,0,0,[],0.0773930753564155,[]
Female,1,J39,13,0,[],0.0720720720720721,[]
Female,1,J38,0,0,[],0.0727272727272727,[]
Female,1,J35,13,1,[7],0.0,[0.06406301624913845]
Female,1,J34,13,0,[],0.0,[]
Female,1,J31,0,0,[],0.0063694267515923,[]
Female,1,K02,18,0,[],0.0,[]
Female,1,J30,0,0,[],0.0,[]
Female,1,J21,0,1,[11],0.0173913043478261,[0.08692858947494238]
Female,1,J20,0,1,[11],0.0381578947368421,[0.08692858947494238]
Female,1,J18,0,2,"[11, 7]",0.0015600624024961,"[0.08692858947494238, 0.06406301624913845]"
Female,1,J15,0,1,[11],0.046028880866426,[0.08692858947494238]
Female,1,J12,0,0,[],0.0869565217391304,[]
Female,1,J11,0,0,[],0.0892857142857143,[]
Female,1,J10,0,0,[],0.0337078651685393,[]
Female,1,J06,0,3,"[16, 11, 7]",0.0552763819095477,"[0.03657605267282186, 0.08692858947494238, 0.06406301624913845]"
Female,1,J05,0,0,[],0.0,[]
Female,1,J04,0,0,[],0.0,[]
Female,1,J03,0,2,"[16, 11]",0.0086206896551724,"[0.03657605267282186, 0.08692858947494238]"
Female,1,J22,0,0,[],0.0,[]
Female,1,J02,0,1,[16],0.0,[0.03657605267282186]
Female,1,K04,18,0,[],0.0,[]
Female,1,K10,18,0,[],0.0034602076124567,[]
Female,1,N76,5,1,[16],0.0352941176470588,[0.03657605267282186]
Female,1,N39,5,2,"[0, 11]",0.0151890689545599,"[0.028063329008365948, 0.08692858947494238]"
Female,1,N35,5,0,[],0.0,[]
Female,1,N31,5,0,[],0.008080808080808,[]
Female,1,N30,5,0,[],0.0447035957240039,[]
