"pri_diag_id","age_10","n_pats","n_mortality","mortality","icd_code"
2,6,8,NA,0,"A01"
2,7,10,NA,0,"A01"
2,8,9,NA,0,"A01"
2,3,19,NA,0,"A01"
2,1,39,NA,0,"A01"
2,5,14,NA,0,"A01"
2,4,22,NA,0,"A01"
2,2,22,NA,0,"A01"
3,1,1418,NA,0,"A02"
3,2,573,NA,0,"A02"
3,5,251,NA,0,"A02"
3,9,86,7,0.0813953488372093,"A02"
3,6,249,3,0.0120481927710843,"A02"
3,4,266,NA,0,"A02"
3,8,155,3,0.0193548387096774,"A02"
3,3,356,NA,0,"A02"
3,7,185,2,0.0108108108108108,"A02"
4,2,9,NA,0,"A03"
4,1,23,NA,0,"A03"
4,3,13,NA,0,"A03"
4,4,15,NA,0,"A03"
5,4,836,4,0.00478468899521531,"A04"
5,5,833,8,0.00960384153661465,"A04"
5,1,1875,1,0.000533333333333333,"A04"
5,8,1244,105,0.0844051446945338,"A04"
5,9,1130,146,0.129203539823009,"A04"
5,7,1049,73,0.0695900857959962,"A04"
5,3,1091,3,0.00274977085242896,"A04"
5,6,821,24,0.0292326431181486,"A04"
5,10,204,30,0.147058823529412,"A04"
5,2,986,NA,0,"A04"
6,3,70,NA,0,"A05"
6,8,16,NA,0,"A05"
6,9,13,1,0.0769230769230769,"A05"
6,2,86,NA,0,"A05"
6,7,28,NA,0,"A05"
6,1,43,NA,0,"A05"
6,4,58,NA,0,"A05"
6,5,37,NA,0,"A05"
6,6,38,NA,0,"A05"
7,1,14,NA,0,"A06"
7,4,18,NA,0,"A06"
7,5,31,NA,0,"A06"
7,2,13,NA,0,"A06"
7,3,27,1,0.037037037037037,"A06"
7,7,22,2,0.0909090909090909,"A06"
7,6,19,NA,0,"A06"
7,9,6,1,0.166666666666667,"A06"
8,4,21,NA,0,"A07"
8,5,19,NA,0,"A07"
8,2,17,NA,0,"A07"
8,3,16,NA,0,"A07"
8,6,10,NA,0,"A07"
8,7,11,NA,0,"A07"
8,1,23,NA,0,"A07"
9,3,723,NA,0,"A08"
9,4,512,1,0.001953125,"A08"
9,1,31104,3,9.64506172839506e-05,"A08"
9,7,434,7,0.0161290322580645,"A08"
9,8,577,13,0.0225303292894281,"A08"
9,5,460,1,0.00217391304347826,"A08"
9,6,458,1,0.00218340611353712,"A08"
9,2,3093,2,0.000646621403168445,"A08"
9,9,550,21,0.0381818181818182,"A08"
9,10,103,8,0.0776699029126214,"A08"
10,2,6760,1,0.00014792899408284,"A09"
10,6,2969,35,0.0117884809700236,"A09"
10,7,2967,59,0.0198854061341422,"A09"
10,8,3167,94,0.0296810862014525,"A09"
10,9,2646,140,0.0529100529100529,"A09"
10,10,512,49,0.095703125,"A09"
10,5,3569,10,0.00280190529560101,"A09"
10,1,26970,4,0.000148312940304042,"A09"
10,3,5529,1,0.000180864532465184,"A09"
10,4,4004,3,0.000749250749250749,"A09"
11,1,59,NA,0,"A15"
11,2,159,NA,0,"A15"
11,3,445,2,0.00449438202247191,"A15"
11,4,407,2,0.00491400491400491,"A15"
11,5,435,3,0.00689655172413793,"A15"
11,10,7,2,0.285714285714286,"A15"
11,6,401,17,0.0423940149625935,"A15"
11,7,226,14,0.0619469026548673,"A15"
11,8,149,11,0.0738255033557047,"A15"
11,9,66,17,0.257575757575758,"A15"
